reactions,comments,reposts,commentary_text
"2,945",205 comments,241 reposts,[ICYMI] 📣 Attention computer science students! You’re invited to a virtual workshop — hosted by Google software engineers and interviewers — which dives into how to apply your classroom learnings to real world problems and interviews. Watch the stream now ➡️
"1,488",120 comments,36 reposts,"Augustine is not only a Product Strategy and Operations lead for YouTube’s Core Experiences team, he’s also passionate about fostering diversity and inclusion at Google.

“I founded and still lead the Black in Product Operations community and serve as a facilitator for our new Black employees onboarding program called The Collective,” Augustine says. He is also an active member of numerous other employee resource groups, including Black@ YouTube, the Black Googler Network, and Africans@ Google. “These communities have been incredibly valuable to me, offering a strong sense of belonging and opportunities for leadership development,” he adds.

In his day-to-day role, Augustine helps teams track their progress. “This involves managing performance reporting, developing tools and dashboards to monitor key metrics, and collaborating with teams to ensure successful launches,” Augustine explains.

Augustine's biggest takeaway since joining Google? “The power individuals have to create positive change, both within their roles and in the broader community.”

Ready to join
? Apply today →"
"1,579",137 comments,60 reposts,"Google’s Genesis program is our rotational program for new grads interested in finance. In the words of Brandon, a current member of the program, “Genesis is designed to equip you with the skills and experiences you need to thrive in the world of finance at Google. It's like a finance bootcamp, but way more fun!” Members of the Genesis program rotate through various areas of corporate finance — working on everything from creating financial models for product teams, to collaborating with stakeholders on process improvements. “The best part though,” Brandon explained, “is that early in your career, you get the chance to gain insights into how a company like Google operates — all while developing crucial leadership and problem-solving skills.”

For Jessica, another Genesis Googler, what happens outside her core role is just as important as the skills learned in it. “What I value most about the Genesis program is the strong sense of community. Starting your career alongside a cohort of peers creates a safe space to navigate the challenges we face as young professionals.”

Learn more and apply today ➡️"
80,3 comments,13 reposts,"🔍 How can Google Trends data be used to research economic and health indicators? → https://goo.gle/3C6zu3I

Check out the latest episode of Google Trends Tutorials on the Search Central YouTube channel! In this episode,anddiscuss nowcasting, how researchers use search interest data to better understand the world around us, and learn about fascinating case studies like the Searching for Health project."
80,3 comments,13 reposts,"🔍 How can Google Trends data be used to research economic and health indicators? → https://goo.gle/3C6zu3I

Check out the latest episode of Google Trends Tutorials on the Search Central YouTube channel! In this episode,anddiscuss nowcasting, how researchers use search interest data to better understand the world around us, and learn about fascinating case studies like the Searching for Health project."
200,8 comments,38 reposts,"In this week's Search Off the Record, we're chatting with Iva Barisic Hafner, UX researcher on the Shopping team, about how doing a little UXR can go a long way in figuring out how people are using your website (and why they might be running into problems). Listen along as we discuss how to conduct UX research with limited resources, and how this knowledge can help when you're looking to improve your website.

📺Check out the episode on YouTube →"
561,23 comments,171 reposts,"It’s time to say goodbye to your outdated OS and unlock a new era of computing. Say hello to reliable security, and an AI and cloud-first endpoint that’s made for the way you do business today. Welcome to the new era, welcome to ChromeOS.

Learn more 👉"
561,23 comments,171 reposts,"It’s time to say goodbye to your outdated OS and unlock a new era of computing. Say hello to reliable security, and an AI and cloud-first endpoint that’s made for the way you do business today. Welcome to the new era, welcome to ChromeOS.

Learn more 👉"
557,9 comments,167 reposts,"Glad to see impacted businesses coming back online, but we know many workers are still locked out of their devices. 

We can help get your business up and running in minutes — and at no cost —  with
Flex.

Get back to business with ChromeOS Flex:"
561,23 comments,171 reposts,"It’s time to say goodbye to your outdated OS and unlock a new era of computing. Say hello to reliable security, and an AI and cloud-first endpoint that’s made for the way you do business today. Welcome to the new era, welcome to ChromeOS.

Learn more 👉"
